,tweets,len,ID,Date,Source,Likes,RTs
575,"कांग्रेस की आपराधिक लापरवाही का ही परिणाम है कि जो काम आजादी के बाद 25 साल में पूरे हो जाने चाहिए थे, उसके लिए अब ह… https://t.co/v1DAlT9rKi",140,1.12507E+18,05-05-19 16:10,Twitter Media Studio,13668,3758
576,Massive rally in Gwalior. Watch. https://t.co/S7FpMarXhJ,56,1.12502E+18,05-05-19 12:47,Periscope,12791,3699
577,"This is an excellent composition. Great effort by the entire team. 

I fully agree- India, our great country is ete… https://t.co/LhZL4IcIsB",140,1.12499E+18,05-05-19 10:36,Twitter for iPhone,22178,5980
578,"जब महामिलावटियों को सत्ता मिलती है तो क्या विनाश होता है और जब हमें सेवा का मौका मिलता है तो क्या विकास होता है, इस… https://t.co/HoxRT63qUv",140,1.12498E+18,05-05-19 10:29,Twitter Media Studio,14753,4000
579,"अरे कांग्रेस के लोगों, 

अरे महामिलावटियों, 

अपने लिए तो घर बनाए, संपत्ति इकट्ठा की पर एक पल के लिए भी जनता के बा… https://t.co/VZLkRWCb8W",139,1.12498E+18,05-05-19 10:26,Twitter Media Studio,10763,3178
580,"2014 से पहले देश में कांग्रेस ने 10 साल तक जो सरकार चलाई, उसने देश की साख पर बट्टा लगाने का काम किया था।

पांच साल… https://t.co/OWEAvWkGzM",139,1.12498E+18,05-05-19 10:21,Twitter Media Studio,10817,3080
581,Congress in MP is synonymous with colossal failures. It’s a sweep for BJP in MP. My speech from Sagar. https://t.co/ZOOvmxU6h6,126,1.12497E+18,05-05-19 9:31,Periscope,13756,3687
582,Mahamilawat means chaos and corruption. Only BJP can effectively service UP. Watch from Bhadohi. https://t.co/KqAuObEVNA,120,1.12492E+18,05-05-19 6:06,Periscope,12234,3304
583,Strongly condemn the killing of @BJP4JnK leader Shri Ghulam Mohammed Mir. His contribution towards strengthening th… https://t.co/zQIR5mWQ1x,140,1.12488E+18,05-05-19 3:20,Twitter for Android,17554,4761
584,ये डर अच्छा है। https://t.co/BgR9PE9Dey,39,1.12487E+18,05-05-19 3:10,Twitter Media Studio,41284,11185
585,"Inconsistent figures, incorrect facts and incomprehensible narratives…this is the Congress way. https://t.co/K82rSpoD3g",119,1.12487E+18,05-05-19 3:09,Twitter Media Studio,11809,3587
586,All in a day’s work. https://t.co/rjCoGsrzT4,44,1.12487E+18,05-05-19 3:09,Twitter Media Studio,13272,3833
587,Greetings to @mlkhattar Ji on his birthday. I have known Manohar Lal Ji for years and have always admired his down… https://t.co/vDlTcJ2n0W,139,1.12487E+18,05-05-19 3:08,Twitter for iPhone,20269,3507
588,"कांग्रेस और महामिलावटियों को मैं कहना चाहता हूं- 

दिल्ली दूर है.. https://t.co/Y3pRyImkDC",90,1.12473E+18,04-05-19 17:46,Twitter Media Studio,15939,3725
589,"Here is how the people of Bihar showed their support at Ramnagar. 

Bihar does not need lanterns because the NDA Go… https://t.co/cCiNzJd8to",140,1.12473E+18,04-05-19 17:45,Twitter Web Client,9230,2491
590,"In 2013-2014 price rise was among the top issues. That is because Congress and price rise are a strong team.

Durin… https://t.co/06TsKoWxyo",140,1.12473E+18,04-05-19 17:41,Twitter Media Studio,11121,3330
